DNPH1	11148
FECAFAII_00001	0
FECAFAII_00008	0
FECAFAII_00009	0
FECAFAII_00012	70
FECAFAII_00014	2086
FECAFAII_00017	2921
FECAFAII_00018	1590
FECAFAII_00019	14063
FECAFAII_00022	272
FECAFAII_00027	9
FECAFAII_00029	2620
FECAFAII_00030	1069
FECAFAII_00032	163
FECAFAII_00033	652
FECAFAII_00034	102
FECAFAII_00035	15
FECAFAII_00036	6
FECAFAII_00037	190
FECAFAII_00038	2668
FECAFAII_00039	197
FECAFAII_00041	225
FECAFAII_00043	174
FECAFAII_00044	489
FECAFAII_00045	0
FECAFAII_00046	0
FECAFAII_00048	4538
FECAFAII_00049	4115
FECAFAII_00050	117
FECAFAII_00051	44
FECAFAII_00052	144
FECAFAII_00053	21
FECAFAII_00054	660
FECAFAII_00055	905
FECAFAII_00056	289
FECAFAII_00057	771
FECAFAII_00063	3859
FECAFAII_00071	32
FECAFAII_00072	2250
FECAFAII_00076	2860
FECAFAII_00077	1835
FECAFAII_00083	639
FECAFAII_00084	3579
FECAFAII_00087	4535
FECAFAII_00092	1616
FECAFAII_00094	4738
FECAFAII_00095	9505
FECAFAII_00100	12
FECAFAII_00101	66
FECAFAII_00102	30
FECAFAII_00103	167
FECAFAII_00104	23
FECAFAII_00106	94
FECAFAII_00111	81
FECAFAII_00112	24
FECAFAII_00114	1653
FECAFAII_00115	41
FECAFAII_00116	161
FECAFAII_00117	467
FECAFAII_00122	202
FECAFAII_00125	1623
FECAFAII_00128	930
FECAFAII_00129	16503
FECAFAII_00131	3792
FECAFAII_00136	4466
FECAFAII_00137	473
FECAFAII_00144	940
FECAFAII_00145	548
FECAFAII_00146	43
FECAFAII_00147	0
FECAFAII_00169	2156
FECAFAII_00170	8218
FECAFAII_00171	1558
FECAFAII_00173	1107
FECAFAII_00174	2869
FECAFAII_00179	2147
FECAFAII_00180	347
FECAFAII_00186	16803
FECAFAII_00190	2534
FECAFAII_00191	2235
FECAFAII_00192	2833
FECAFAII_00193	3860
FECAFAII_00194	1268
FECAFAII_00195	902
FECAFAII_00201	351
FECAFAII_00204	49
FECAFAII_00205	178
FECAFAII_00206	6021
FECAFAII_00208	1514
FECAFAII_00209	777
FECAFAII_00212	911
FECAFAII_00213	34
FECAFAII_00214	4503
FECAFAII_00226	2765
FECAFAII_00229	2
FECAFAII_00231	247
FECAFAII_00233	871
FECAFAII_00237	2228
FECAFAII_00238	2164
FECAFAII_00240	516
FECAFAII_00241	1147
FECAFAII_00246	74
FECAFAII_00252	645
FECAFAII_00255	1056
FECAFAII_00256	1310
FECAFAII_00259	2759
FECAFAII_00260	188
FECAFAII_00261	155
FECAFAII_00262	3379
FECAFAII_00265	1
FECAFAII_00269	688
FECAFAII_00271	692
FECAFAII_00272	376
FECAFAII_00273	475
FECAFAII_00274	13
FECAFAII_00275	18
FECAFAII_00277	460
FECAFAII_00278	300
FECAFAII_00283	818
FECAFAII_00284	433
FECAFAII_00285	403
FECAFAII_00286	4300
FECAFAII_00288	208
FECAFAII_00289	59
FECAFAII_00290	182
FECAFAII_00291	3249
FECAFAII_00292	3102
FECAFAII_00293	238
FECAFAII_00294	36
FECAFAII_00295	0
FECAFAII_00296	5
FECAFAII_00297	5
FECAFAII_00298	2
FECAFAII_00299	0
FECAFAII_00300	0
FECAFAII_00301	0
FECAFAII_00305	284
FECAFAII_00306	2506
FECAFAII_00307	5
FECAFAII_00308	1
FECAFAII_00312	5396
FECAFAII_00315	490
FECAFAII_00317	45
FECAFAII_00318	42
FECAFAII_00321	715
FECAFAII_00322	151
FECAFAII_00324	8
FECAFAII_00326	84
FECAFAII_00332	4310
FECAFAII_00335	6651
FECAFAII_00348	2390
FECAFAII_00349	17
